time	V(n001)	I(L)
3.771972656250079e-005	6.318007e-001	-8.326203e-003
3.815917968750083e-005	9.904222e-001	-7.919205e-003
3.859863281250086e-005	1.330196e+000	-7.361506e-003
3.903808593750089e-005	1.644657e+000	-6.663719e-003
3.947753906250092e-005	1.927820e+000	-5.839122e-003
3.977050781250095e-005	2.096519e+000	-5.226599e-003
4.020996093750098e-005	2.315886e+000	-4.226582e-003
4.064941406250101e-005	2.491182e+000	-3.146134e-003
4.108886718750105e-005	2.619071e+000	-2.005815e-003
4.152832031250108e-005	2.697120e+000	-8.273263e-004
4.182128906250110e-005	2.720690e+000	-3.151897e-005
4.211425781250112e-005	2.721228e+000	7.645552e-004
4.255371093750116e-005	2.678896e+000	1.944439e-003
4.299316406250119e-005	2.585586e+000	3.087320e-003
4.343261718750122e-005	2.443072e+000	4.171450e-003
4.387207031250125e-005	2.254066e+000	5.176198e-003
4.431152343750129e-005	2.022167e+000	6.082444e-003
4.475097656250132e-005	1.751785e+000	6.872942e-003
4.519042968750135e-005	1.448068e+000	7.532649e-003
4.562988281250139e-005	1.116794e+000	8.049011e-003
4.606933593750142e-005	7.642676e-001	8.412202e-003
4.650878906250145e-005	3.971973e-001	8.615309e-003
4.680175781250147e-005	1.478460e-001	8.659744e-003
4.709472656250150e-005	-1.027568e-001	8.630872e-003
4.753417968750153e-005	-4.763687e-001	8.450817e-003
4.797363281250156e-005	-8.409154e-001	8.109946e-003
4.841308593750159e-005	-1.189460e+000	7.614743e-003
4.885253906250163e-005	-1.515368e+000	6.974633e-003
4.929199218750166e-005	-1.812440e+000	6.201798e-003
4.973144531250169e-005	-2.075022e+000	5.310942e-003
4.987792968750170e-005	-2.154190e+000	4.991064e-003
4.999999999999998e-005	-2.217505e+000	4.718095e-003
